deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=7.739 repairs=0 repair_GPU_ms=0.011 prepack_wall_ms=7.911
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=7.983 repairs=0 repair_GPU_ms=0.012 prepack_wall_ms=8.161
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.014 pixels_wall_ms=8.170 repairs=0 repair_GPU_ms=0.011 prepack_wall_ms=8.354
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=8.235 repairs=0 repair_GPU_ms=0.012 prepack_wall_ms=8.417
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.015 pixels_wall_ms=8.820 repairs=0 repair_GPU_ms=0.012 prepack_wall_ms=9.002
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=14.469 repairs=0 repair_GPU_ms=0.013 prepack_wall_ms=14.655
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.025 pixels_wall_ms=10.328 repairs=0 repair_GPU_ms=0.009 prepack_wall_ms=10.487
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.022 pixels_wall_ms=3.027 repairs=0 repair_GPU_ms=0.007 prepack_wall_ms=3.307
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=3.437 repairs=0 repair_GPU_ms=0.007 prepack_wall_ms=3.589
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=3.180 repairs=0 repair_GPU_ms=0.006 prepack_wall_ms=3.321
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=3.602 repairs=0 repair_GPU_ms=0.006 prepack_wall_ms=3.751
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=3.847 repairs=0 repair_GPU_ms=0.006 prepack_wall_ms=3.992
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.021 pixels_wall_ms=3.879 repairs=0 repair_GPU_ms=0.006 prepack_wall_ms=4.052
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.021 pixels_wall_ms=3.902 repairs=0 repair_GPU_ms=0.005 prepack_wall_ms=4.094
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.021 pixels_wall_ms=5.444 repairs=0 repair_GPU_ms=0.005 prepack_wall_ms=5.623
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.018 pixels_wall_ms=8.553 repairs=0 repair_GPU_ms=0.005 prepack_wall_ms=8.722
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.072 pixels_wall_ms=14.915 repairs=0 repair_GPU_ms=0.010 prepack_wall_ms=15.177
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.024 pixels_wall_ms=14.525 repairs=0 repair_GPU_ms=0.011 prepack_wall_ms=14.726
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=14.404 repairs=0 repair_GPU_ms=0.010 prepack_wall_ms=14.592
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=14.327 repairs=0 repair_GPU_ms=0.011 prepack_wall_ms=14.525
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=14.308 repairs=0 repair_GPU_ms=0.011 prepack_wall_ms=14.546
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.019 pixels_wall_ms=14.429 repairs=0 repair_GPU_ms=0.011 prepack_wall_ms=14.646
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.019 pixels_wall_ms=12.060 repairs=0 repair_GPU_ms=0.011 prepack_wall_ms=12.257
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=8.876 repairs=0 repair_GPU_ms=0.011 prepack_wall_ms=9.042
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=5.610 repairs=0 repair_GPU_ms=0.008 prepack_wall_ms=5.765
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=14.409 repairs=0 repair_GPU_ms=0.012 prepack_wall_ms=14.576
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.014 pixels_wall_ms=14.513 repairs=0 repair_GPU_ms=0.012 prepack_wall_ms=14.689
