deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.023 pixels_wall_ms=28.520 repairs=0 repair_GPU_ms=0.012 batch_wall_ms=28.764
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.019 pixels_wall_ms=26.217 repairs=0 repair_GPU_ms=0.013 batch_wall_ms=26.454
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.025 pixels_wall_ms=15.546 repairs=0 repair_GPU_ms=0.011 batch_wall_ms=15.776
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.020 pixels_wall_ms=14.543 repairs=0 repair_GPU_ms=0.011 batch_wall_ms=14.735
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.023 pixels_wall_ms=14.506 repairs=0 repair_GPU_ms=0.012 batch_wall_ms=14.759
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.022 pixels_wall_ms=9.912 repairs=0 repair_GPU_ms=0.007 batch_wall_ms=10.163
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.019 pixels_wall_ms=26.125 repairs=0 repair_GPU_ms=0.012 batch_wall_ms=26.373
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.021 pixels_wall_ms=26.335 repairs=0 repair_GPU_ms=0.011 batch_wall_ms=26.541
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.018 pixels_wall_ms=25.514 repairs=0 repair_GPU_ms=0.011 batch_wall_ms=25.707
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=24.953 repairs=0 repair_GPU_ms=0.011 batch_wall_ms=25.160
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.019 pixels_wall_ms=14.371 repairs=0 repair_GPU_ms=0.011 batch_wall_ms=14.545
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=13.540 repairs=0 repair_GPU_ms=0.012 batch_wall_ms=13.729
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=14.081 repairs=0 repair_GPU_ms=0.012 batch_wall_ms=14.247
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.017 pixels_wall_ms=13.973 repairs=0 repair_GPU_ms=0.012 batch_wall_ms=14.185
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=10.605 repairs=0 repair_GPU_ms=0.008 batch_wall_ms=10.777
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=25.732 repairs=0 repair_GPU_ms=0.012 batch_wall_ms=25.907
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.017 pixels_wall_ms=26.068 repairs=0 repair_GPU_ms=0.012 batch_wall_ms=26.251
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=22.394 repairs=0 repair_GPU_ms=0.013 batch_wall_ms=22.598
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=22.299 repairs=0 repair_GPU_ms=0.012 batch_wall_ms=22.495
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.022 pixels_wall_ms=13.415 repairs=0 repair_GPU_ms=0.011 batch_wall_ms=13.621
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.018 pixels_wall_ms=13.245 repairs=0 repair_GPU_ms=0.010 batch_wall_ms=13.442
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.018 pixels_wall_ms=13.434 repairs=0 repair_GPU_ms=0.010 batch_wall_ms=13.626
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.018 pixels_wall_ms=14.369 repairs=0 repair_GPU_ms=0.011 batch_wall_ms=14.550
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=14.401 repairs=0 repair_GPU_ms=0.012 batch_wall_ms=14.639
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.015 pixels_wall_ms=24.650 repairs=0 repair_GPU_ms=0.018 batch_wall_ms=24.838
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.015 pixels_wall_ms=24.816 repairs=0 repair_GPU_ms=0.015 batch_wall_ms=25.061
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.028 pixels_wall_ms=13.000 repairs=0 repair_GPU_ms=0.014 batch_wall_ms=13.262
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.019 pixels_wall_ms=13.280 repairs=0 repair_GPU_ms=0.015 batch_wall_ms=13.542
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.020 pixels_wall_ms=12.533 repairs=0 repair_GPU_ms=0.017 batch_wall_ms=12.793
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.025 pixels_wall_ms=12.952 repairs=0 repair_GPU_ms=0.010 batch_wall_ms=13.227
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.020 pixels_wall_ms=13.899 repairs=0 repair_GPU_ms=0.010 batch_wall_ms=14.139
